estacion_id;fecha;temperatura;humedad;rocio;precipitacion
94059;01/12/2016 0:00;19.0;71.6;13.8;0.0
94059;01/12/2016 0:10;18.8;72.9;13.8;0.0
94059;01/12/2016 0:20;18.6;74.3;13.9;0.0
94059;01/12/2016 0:30;18.5;75.4;14.1;0.0
94059;01/12/2016 0:40;18.7;75.7;14.3;0.0
94059;01/12/2016 0:50;18.3;76.9;14.2;0.0
94059;01/12/2016 1:00;18.1;78.2;14.2;0.0
94059;01/12/2016 1:10;18.0;78.9;14.3;0.0
94059;01/12/2016 1:20;17.7;79.7;14.1;0.0
94059;01/12/2016 1:30;17.6;80.2;14.1;0.0
94059;01/12/2016 1:40;17.6;80.2;14.1;0.0
94059;01/12/2016 1:50;17.7;79.9;14.2;0.0
94059;01/12/2016 2:00;17.7;79.3;14.1;0.0
94059;01/12/2016 2:10;17.5;79.5;13.9;0.0
94059;01/12/2016 2:20;17.8;78.4;14;0.0
94059;01/12/2016 2:30;17.5;78.5;13.7;0.0
94059;01/12/2016 2:40;17.4;78.6;13.6;0.0
94059;01/12/2016 2:50;17.1;79.1;13.5;0.0
94059;01/12/2016 3:00;17.1;79.3;13.5;0.0
94059;01/12/2016 3:10;16.9;79.2;13.3;0.0
94059;01/12/2016 3:20;17.0;79.5;13.4;0.0
94059;01/12/2016 3:30;17.1;79.1;13.5;0.0
94059;01/12/2016 3:40;16.8;79.6;13.3;0.0
94059;01/12/2016 3:50;16.7;80.2;13.3;0.0
94059;01/12/2016 4:00;16.5;80.5;13.1;0.0
94059;01/12/2016 4:10;16.2;81.4;13;0.0
94059;01/12/2016 4:20;16.1;82.2;13.1;0.0
94059;01/12/2016 4:30;16.2;82.4;13.2;0.0
94059;01/12/2016 4:40;16.1;82.9;13.2;0.0
94059;01/12/2016 4:50;16.2;83.1;13.3;0.0
94059;01/12/2016 5:00;16.5;82.3;13.5;0.0
94059;01/12/2016 5:10;16.3;82.5;13.3;0.0
94059;01/12/2016 5:20;16.1;83.2;13.3;0.0
94059;01/12/2016 5:30;15.9;83.8;13.2;0.0
94059;01/12/2016 5:40;16.1;84.0;13.4;0.0
94059;01/12/2016 5:50;16.1;84.0;13.4;0.0
94059;01/12/2016 6:00;16.3;83.8;13.6;0.0
94059;01/12/2016 6:10;16.3;83.8;13.6;0.0
94059;01/12/2016 6:20;16.6;83.3;13.8;0.0
94059;01/12/2016 6:30;17.1;82.5;14.1;0.0
94059;01/12/2016 6:40;17.9;80.7;14.5;0.0
94059;01/12/2016 6:50;18.4;78.7;14.6;0.0
94059;01/12/2016 7:00;19.0;76.8;14.8;0.0
94059;01/12/2016 7:10;19.7;74.0;14.9;0.0
94059;01/12/2016 7:20;20.4;72.2;15.2;0.0
94059;01/12/2016 7:30;21.0;69.8;15.3;0.0
94059;01/12/2016 7:40;21.6;67.2;15.3;0.0
94059;01/12/2016 7:50;22.1;65.4;15.3;0.0
94059;01/12/2016 8:00;22.7;62.7;15.2;0.0
94059;01/12/2016 8:10;23.4;59.7;15.1;0.0
94059;01/12/2016 8:20;23.8;58.1;15.1;0.0
94059;01/12/2016 8:30;24.1;56.0;14.8;0.0
94059;01/12/2016 8:40;24.3;54.9;14.7;0.0
94059;01/12/2016 8:50;24.5;54.5;14.7;0.0
94059;01/12/2016 9:00;25.1;52.1;14.6;0.0
94059;01/12/2016 9:10;25.5;49.5;14.2;0.0
94059;01/12/2016 9:20;25.7;49.5;14.3;0.0
94059;01/12/2016 9:30;26.1;48.3;14.3;0.0
94059;01/12/2016 9:40;26.3;47.0;14.1;0.0
94059;01/12/2016 9:50;26.8;45.7;14.1;0.0
94059;01/12/2016 10:00;26.5;44.4;13.4;0.0
94059;01/12/2016 10:10;26.7;42.8;13;0.0
94059;01/12/2016 10:20;27.4;40.1;12.6;0.0
94059;01/12/2016 10:30;27.8;38.8;12.5;0.0
94059;01/12/2016 10:40;27.3;38.7;12;0.0
94059;01/12/2016 10:50;28.4;39.4;13.3;0.0
94059;01/12/2016 11:00;28.4;38.3;12.8;0.0
94059;01/12/2016 11:10;28.8;38.8;13.4;0.0
94059;01/12/2016 11:20;29.0;38.4;13.4;0.0
94059;01/12/2016 11:30;29.5;38.8;14;0.0
94059;01/12/2016 11:40;29.4;38.5;13.8;0.0
