estacion;fecha;temperatura;humedad;rocio;precipitacion
94059;2016-11-01 0:00:00;17.8;74.0;13.1;0.0
94059;2016-11-01 0:10:00;17.8;74.2;13.1;0.0
94059;2016-11-01 0:20:00;17.6;74.9;13.1;0.0
94059;2016-11-01 0:30:00;17.5;75.5;13.1;0.0
94059;2016-11-01 0:40:00;17.0;76.1;12.8;0.0
94059;2016-11-01 0:50:00;17.4;76.5;13.2;0.0
94059;2016-11-01 1:00:00;17.2;76.5;13;0.0
94059;2016-11-01 1:10:00;16.8;78.0;12.9;0.0
94059;2016-11-01 1:20:00;16.3;78.9;12.6;0.0
94059;2016-11-01 1:30:00;16.5;79.9;13;0.0
94059;2016-11-01 1:40:00;17.6;79.1;13.9;0.0
94059;2016-11-01 1:50:00;17.7;78.7;14;0.0
94059;2016-11-01 2:00:00;17.8;78.5;14;0.0
94059;2016-11-01 2:10:00;17.5;80.0;14;0.0
94059;2016-11-01 2:20:00;17.3;80.6;13.9;0.0
94059;2016-11-01 2:30:00;17.0;81.1;13.7;0.0
94059;2016-11-01 2:40:00;16.9;81.2;13.7;0.0
94059;2016-11-01 2:50:00;17.0;81.6;13.8;0.0
94059;2016-11-01 3:00:00;16.9;81.9;13.8;0.0
94059;2016-11-01 3:10:00;16.8;82.3;13.8;0.0
94059;2016-11-01 3:20:00;16.4;82.9;13.5;0.0
94059;2016-11-01 3:30:00;16.8;83.3;14;0.0
94059;2016-11-01 3:40:00;16.8;83.0;13.9;0.0
94059;2016-11-01 3:50:00;16.5;83.2;13.6;0.0
94059;2016-11-01 4:00:00;16.4;83.6;13.6;0.0
94059;2016-11-01 4:10:00;16.4;83.5;13.6;0.0
94059;2016-11-01 4:20:00;16.7;83.1;13.8;0.0
94059;2016-11-01 4:30:00;16.2;82.8;13.3;0.0
94059;2016-11-01 4:40:00;15.8;84.0;13.1;0.0
94059;2016-11-01 4:50:00;15.2;85.1;12.7;0.0
94059;2016-11-01 5:00:00;15.1;85.6;12.7;0.0
94059;2016-11-01 5:10:00;15.1;86.5;12.9;0.0
94059;2016-11-01 5:20:00;15.1;86.9;12.9;0.0
94059;2016-11-01 5:30:00;15.0;86.9;12.8;0.0
94059;2016-11-01 5:40:00;14.9;87.2;12.8;0.0
94059;2016-11-01 5:50:00;14.6;87.6;12.6;0.0
94059;2016-11-01 6:00:00;14.2;88.1;12.3;0.0
94059;2016-11-01 6:10:00;14.2;88.5;12.3;0.0
94059;2016-11-01 6:20:00;14.4;89.2;12.6;0.0
94059;2016-11-01 6:30:00;14.5;89.1;12.7;0.0
94059;2016-11-01 6:40:00;14.2;89.1;12.4;0.0
94059;2016-11-01 6:50:00;14.7;89.2;12.9;0.0
94059;2016-11-01 7:00:00;15.4;88.6;13.5;0.0
94059;2016-11-01 7:10:00;15.7;88.0;13.7;0.0
94059;2016-11-01 7:20:00;16.4;86.2;14.1;0.0
94059;2016-11-01 7:30:00;16.6;85.1;14.1;0.0
