Datos desde el 01/11/2016 hasta el 30/11/2016
Numero,Estacion,ID Localidad,Fecha,Temperatura [ºC],Humedad [%HR],Punto de Rocío [ºC],Precipitación [mm],Velocidad Viento [Km/h],Dirección Viento,Rafaga Maxima [Km/h],Presión [hPa],Radiación Solar [W/m2],Temperatura Suelo 1 [ºC],Temperatura Suelo 2 [ºC],Temperatura Suelo 3 [ºC],Humedad Suelo 1 [%grav],Humedad Suelo 2 [%grav],Humedad Suelo 3 [%grav],Humedad de Hoja [%],
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 00:00,17.8,74.0,13.1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 00:10,17.8,74.2,13.1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 00:20,17.6,74.9,13.1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 00:30,17.5,75.5,13.1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 00:40,17.0,76.1,12.8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 00:50,17.4,76.5,13.2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 01:00,17.2,76.5,13,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 01:10,16.8,78.0,12.9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 01:20,16.3,78.9,12.6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 01:30,16.5,79.9,13,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 01:40,17.6,79.1,13.9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 01:50,17.7,78.7,14,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 02:00,17.8,78.5,14,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 02:10,17.5,80.0,14,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 02:20,17.3,80.6,13.9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 02:30,17.0,81.1,13.7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 02:40,16.9,81.2,13.7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 02:50,17.0,81.6,13.8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 03:00,16.9,81.9,13.8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 03:10,16.8,82.3,13.8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 03:20,16.4,82.9,13.5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 03:30,16.8,83.3,14,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 03:40,16.8,83.0,13.9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 03:50,16.5,83.2,13.6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 04:00,16.4,83.6,13.6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 04:10,16.4,83.5,13.6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 04:20,16.7,83.1,13.8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 04:30,16.2,82.8,13.3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 04:40,15.8,84.0,13.1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 04:50,15.2,85.1,12.7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 05:00,15.1,85.6,12.7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 05:10,15.1,86.5,12.9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 05:20,15.1,86.9,12.9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 05:30,15.0,86.9,12.8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 05:40,14.9,87.2,12.8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 05:50,14.6,87.6,12.6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 06:00,14.2,88.1,12.3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 06:10,14.2,88.5,12.3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 06:20,14.4,89.2,12.6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 06:30,14.5,89.1,12.7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 06:40,14.2,89.1,12.4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 06:50,14.7,89.2,12.9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 07:00,15.4,88.6,13.5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 07:10,15.7,88.0,13.7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 07:20,16.4,86.2,14.1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 07:30,16.6,85.1,14.1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 07:40,17.4,84.0,14.7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 07:50,17.8,81.9,14.7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 08:00,17.6,81.2,14.3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
94059,Campo Escuela FCA-UNC - 94059,0,01/11/2016 08:10,17.8,81.0,14.5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,
